City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Along,IN,73.4,overcast clouds,28.1667,94.7667,Hotel West
2,Rikitea,PF,75.06,light rain,-23.1203,-134.9692,People ThankYou
5,Atuona,PF,78.12,scattered clouds,-9.8,-139.0333,Villa Enata
13,San Quintin,MX,76.68,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
15,Lagoa,PT,70.68,overcast clouds,39.05,-27.9833,Casa Das Faias
20,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
31,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
60,Najran,SA,70.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
61,Ribeira Grande,PT,71.91,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
68,Rumonge,BI,73.56,light rain,-3.9736,29.4386,Kwetu Guest House
70,Palauig,PH,79.72,overcast clouds,15.435,119.9045,Alperi Botique Resort
71,Saint-Joseph,RE,71.96,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Praia Da Vitoria,PT,74.75,broken clouds,38.7333,-27.0667,Hotel Branco I
80,Hilo,US,76.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
82,Isangel,VU,77.11,heavy intensity rain,-19.55,169.2667,Tanna Lodge
87,Eyl,SO,78.6,overcast clouds,7.9803,49.8164,Amiin Hotel
90,Mitsamiouli,KM,76.51,clear sky,-11.3847,43.2844,Foyer ADM
91,Vaini,TO,75.36,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
93,Nago,JP,75.36,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
99,Tiznit,MA,72.64,clear sky,29.5833,-9.5,
104,Tura,IN,74.41,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
105,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
108,Farafangana,MG,70.07,few clouds,-22.8167,47.8333,Miarina
110,Rotifunk,SL,74.97,light rain,8.2333,-12.6833,
111,Akyab,MM,77.59,overcast clouds,20.15,92.9,Hotel Memory
112,Bethel,US,73.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
113,Meulaboh,ID,77.65,overcast clouds,4.1363,96.1285,Kost Pria
125,Adana,TR,72.12,scattered clouds,36.985,35.2881,Güney Adana Otel
136,Hervey Bay,AU,70.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
138,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
150,Nizwa,OM,77.88,clear sky,22.9333,57.5333,Orient Apartments
156,Cururupu,BR,77.45,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
158,Moerai,PF,77.49,clear sky,-22.4333,-151.3333,Le Manotel
163,Padang,ID,78.58,overcast clouds,-0.9492,100.3543,Mercure Padang
164,Bengkulu,ID,76.66,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
174,Sao Filipe,CV,78.46,overcast clouds,14.8961,-24.4956,Hotel Xaguate
184,Soyo,AO,76.93,clear sky,-6.1349,12.3689,Hotel Mpampa
189,Poum,NC,76.78,few clouds,-20.2333,164.0167,Gîte kajeon
190,Puro,PH,79.25,broken clouds,12.4841,123.3827,
192,Carutapera,BR,79.68,broken clouds,-1.195,-46.02,Lidera
193,Hirara,JP,78.03,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
196,San Cristobal,VE,77.18,moderate rain,7.7669,-72.225,Posada Villaven C.A.
198,Basavana Bagevadi,IN,72.88,overcast clouds,16.5833,75.9667,Vimochan lodge
209,San Policarpo,PH,79.38,broken clouds,12.1791,125.5072,Agapita M. Nicart
210,Katsuura,JP,73.42,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
213,Akalgarh,IN,76.01,clear sky,29.8167,75.8833,Parbhudarshan Dharamshala
218,Billings,US,70.5,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
227,Tanete,ID,75.49,broken clouds,-3.9443,119.7848,Wisma Tri Multi
232,Ponta Do Sol,PT,72.72,overcast clouds,32.6667,-17.1,Hotel do Campo
234,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
237,Porangatu,BR,78.67,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
243,Matara,LK,78.24,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
246,Awbari,LY,71.74,clear sky,26.5921,12.7805,فندق أوباري
249,Pasighat,IN,78.31,broken clouds,28.0667,95.3333,Siang Guest House
252,Katobu,ID,76.66,few clouds,-4.9408,122.5276,La Ode Husein
254,Gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
257,Antalaha,MG,71.51,light rain,-14.9003,50.2788,Hotel Vitasoa
258,Vao,NC,72.73,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
261,Gold Coast,AU,70.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
262,Tambopata,PE,74.82,overcast clouds,-12.7333,-69.1833,
270,Los Llanos De Aridane,ES,74.12,clear sky,28.6585,-17.9182,Valle Aridane
277,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
279,Brigantine,US,73.65,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
281,Pathein,MM,74.32,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
285,Santiago Del Estero,AR,73.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
290,Marrakesh,MA,78.87,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
297,Biak,ID,77.07,overcast clouds,-0.9131,122.8766,Penginapan Kim
300,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
303,Sechura,PE,72.37,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
305,Teguise,ES,71.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
316,Dingle,PH,76.08,few clouds,10.9995,122.6711,SEGAYA PROPERTY
317,Pitogo,PH,77.9,overcast clouds,13.7847,122.0881,Ricronald
