City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Along,IN,28.1667,94.7667,73.4,83,91,1.83,overcast clouds
1,Tabory,RU,58.5198,64.5495,43.83,77,100,6.78,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,75.06,79,12,10.11,light rain
3,Avera,US,33.194,-82.5271,80.47,50,1,16.49,clear sky
4,Kathmandu,NP,27.7167,85.3167,66.42,100,75,3.44,broken clouds
5,Atuona,PF,-9.8,-139.0333,78.12,77,36,18.34,scattered clouds
6,Skjervoy,NO,70.0311,20.9714,41.83,80,100,17.36,overcast clouds
7,Moree,AU,-29.4667,149.85,55.42,71,15,4.61,few clouds
8,Corinto,GR,37.9407,22.9573,67.68,82,7,4.88,clear sky
9,Cuauhtemoc,MX,28.4167,-106.8667,65.71,42,97,14.47,overcast clouds
10,Torbay,CA,47.6666,-52.7314,45.57,96,90,24.16,light intensity drizzle
11,Barrow,US,71.2906,-156.7887,21.22,79,90,13.8,light snow
12,Mataura,NZ,-46.1927,168.8643,61.32,50,17,4.56,few clouds
13,San Quintin,MX,30.4833,-115.95,76.68,32,0,8.88,clear sky
14,Albany,US,42.6001,-73.9662,68.76,92,86,11.01,overcast clouds
15,Lagoa,PT,39.05,-27.9833,70.68,92,100,27.74,overcast clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,66.22,37,0,14.97,clear sky
17,Airai,TL,-8.9266,125.4092,64.0,80,6,1.32,clear sky
18,East London,ZA,-33.0153,27.9116,58.44,57,27,23.06,scattered clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,90,3.44,overcast clouds
20,Bambous Virieux,MU,-20.3428,57.7575,73.22,78,40,12.66,scattered clouds
21,Saint George,US,37.1041,-113.5841,81.07,17,1,1.99,clear sky
22,Cidreira,BR,-30.1811,-50.2056,61.02,79,100,11.41,overcast clouds
23,Tiksi,RU,71.6872,128.8694,8.74,89,94,5.93,overcast clouds
24,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,24.16,scattered clouds
25,Jamestown,US,42.097,-79.2353,58.59,67,40,8.99,scattered clouds
26,Olinda,BR,-8.0089,-34.8553,80.33,74,90,11.5,overcast clouds
27,Severo-Kurilsk,RU,50.6789,156.125,40.05,56,100,0.58,overcast clouds
28,Apa,RO,47.7667,23.2,45.12,75,90,1.61,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,35.26,87,75,20.71,light snow
30,Guanica,PR,17.9716,-66.908,88.14,81,52,1.99,broken clouds
31,Saint-Philippe,RE,-21.3585,55.7679,72.95,75,40,16.35,scattered clouds
32,Caucaia,BR,-3.7361,-38.6531,82.35,74,0,10.36,clear sky
